"id","country","fact_number","fact"
"761","Iraq","1","This country is home to an ancient city famous for its Hanging Gardens, considered one of the Seven Wonders of the Ancient World."
"762","Iraq","2","Its name means ""deeply rooted, well watered; fertile"" in Arabic, reflecting its historical role in a fertile region."
"763","Iraq","3","In this country, black cats are seen as symbols of good luck, unlike many other cultures."
"764","Iraq","4","It was under Ottoman rule and later a British mandate before gaining independence in 1932."
"765","Iraq","5","A southern city in this country is known for its extensive date palm groves and markets."
"766","Iraq","6","Two major rivers in this country fostered some of the earliest writing systems and legal codes."
"767","Iraq","7","The capital was a global center of learning during a historical golden age, advancing science and literature."
"768","Iraq","8","It is a major oil producer, ranking high among global exporters."
"769","Iraq","9","Its population is diverse, with Arabs, Kurds, Turkmen, and others."
"770","Iraq","10","It is located in the Middle East, bordered by Turkey, Iran, Syria, Jordan, Saudi Arabia, and Kuwait."
"771","Japan","1","The practice of ""shinrin-yoku"" or forest bathing promotes health through nature immersion, a testament to Japan's deep connection to its environment."
"772","Japan","2","Kongō Gumi, founded in 578 AD, holds the record as the world's oldest continuously operating company, showcasing Japan's historical business acumen."
"773","Japan","3","With over 5,000 islands, only about 400 are inhabited, highlighting its archipelagic nature."
"774","Japan","4","The Japanese language employs three writing systems—Kanji, Hiragana, and Katakana—adding complexity to its linguistic culture."
"775","Japan","5","Japan leads in seaweed production, a staple in its cuisine and a significant agricultural export."
"776","Japan","6","The capital, Tokyo, is the world's most populous metropolitan area, a bustling center of innovation and culture."
"777","Japan","7","Mount Fuji, an active stratovolcano, is the country's highest peak and a revered symbol."
"778","Japan","8","The cherry blossom (sakura) is a national symbol, celebrated for its fleeting beauty."
"779","Japan","9","Japan is known for its advanced technology and robotics, a global leader in innovation."
"780","Japan","10","It is an island nation in East Asia, part of the Pacific Ring of Fire."
"781","Kazakhstan","1","It is the world’s largest landlocked country and the ninth-largest country in the world."
"782","Kazakhstan","2","It is home to the Baikonur Cosmodrome, the world’s oldest and largest operational space launch facility."
"783","Kazakhstan","3","It shares a large lake, the largest in the world, with other countries."
"784","Kazakhstan","4","It has a tradition of eagle hunting, where trained golden eagles are used for hunting."
"785","Kazakhstan","5","Its national drink is kumis, fermented mare’s milk."
"786","Kazakhstan","6","It is rich in natural resources, including oil, natural gas, uranium, and various minerals."
"787","Kazakhstan","7","The capital city, Astana, is known for its futuristic architecture and has been rapidly developed."
"788","Kazakhstan","8","It is the largest economy in Central Asia, with a GDP per capita significantly higher than its neighbors."
"789","Kazakhstan","9","Its population is diverse, with over 130 different ethnicities, reflecting its history as a crossroads of civilizations."
"790","Kazakhstan","10","It is located in Central Asia, bordering Russia, China, Kyrgyzstan, Uzbekistan, and Turkmenistan."
"791","Kuwait","1","This country has no permanent rivers or lakes, relying on desalination for its water supply."
"792","Kuwait","2","It has the highest value currency unit in the world."
"793","Kuwait","3","It has one of the largest oil reserves globally."
"794","Kuwait","4","Its national bird is the falcon, reflecting its historical ties to falconry."
"795","Kuwait","5","It is known for its traditional dhow boats, used for fishing and pearl diving."
"796","Kuwait","6","The capital city is a major financial and commercial hub in the Middle East."
"797","Kuwait","7","It has a unique tradition of giving lavish gifts during Eid al-Fitr."
"798","Kuwait","8","Its population is primarily composed of expatriates, who outnumber citizens."
"799","Kuwait","9","It is known for its modern architecture, including the Liberation Tower."
"800","Kuwait","10","It is located in Western Asia, bordering Iraq and Saudi Arabia, with a coastline on the Persian Gulf."
"801","Kyrgyzstan","1","This country is home to the world’s second-largest alpine lake."
"802","Kyrgyzstan","2","It is one of only two landlocked countries in the world whose capital is also landlocked."
"803","Kyrgyzstan","3","It has a tradition of ""kok-boru,"" a traditional equestrian sport played with a goat carcass."
"804","Kyrgyzstan","4","It is known for its nomadic culture, with traditional yurts still used as dwellings."
"805","Kyrgyzstan","5","Its national drink is kumis, fermented mare’s milk, similar to a neighboring country."
"806","Kyrgyzstan","6","It has a diverse landscape, dominated by the Tian Shan mountain range."
"807","Kyrgyzstan","7","The capital city is Bishkek, named after a churning stick used to make kumis."
"808","Kyrgyzstan","8","It is home to many glaciers, which are a major source of freshwater in Central Asia."
"809","Kyrgyzstan","9","Its population is predominantly Kyrgyz, with significant Uzbek and Russian minorities."
"810","Kyrgyzstan","10","It is located in Central Asia, bordering Kazakhstan, Uzbekistan, Tajikistan, and China."
"811","Laos","1","This country is the most heavily bombed country per capita in history."
"812","Laos","2","It is landlocked and has no coastline."
"813","Laos","3","It is home to the Plain of Jars, an archaeological landscape with thousands of stone jars."
"814","Laos","4","It has a tradition of giving alms to Buddhist monks, a daily ritual."
"815","Laos","5","Its national animal is the elephant, a symbol of strength and prosperity."
"816","Laos","6","It is known for its sticky rice, a staple food consumed with most meals."
"817","Laos","7","The capital city, Vientiane, is located on the Mekong River."
"818","Laos","8","It has a predominantly Buddhist population, with many temples and monasteries."
"819","Laos","9","Its population is diverse, with over 160 ethnic groups."
"820","Laos","10","It is located in Southeast Asia, bordering Thailand, Vietnam, Cambodia, China, and Myanmar."
"821","Lebanon","1","This country has 18 recognized religious sects, making it one of the most religiously diverse countries."
"822","Lebanon","2","It is the only country in the Middle East with no desert."
"823","Lebanon","3","It is home to the oldest known city in the world, Byblos, continuously inhabited for over 7,000 years."
"824","Lebanon","4","Its national symbol is the cedar tree, mentioned in the Bible."
"825","Lebanon","5","It is known for its ancient Roman ruins, including Baalbek."
"826","Lebanon","6","Its cuisine is famous for dishes like tabbouleh, hummus, and kibbeh."
"827","Lebanon","7","The capital city, Beirut, is often called the ""Paris of the Middle East."" "
"828","Lebanon","8","It has a Mediterranean climate, with snowy mountains and a warm coast."
"829","Lebanon","9","Its population is diverse, with a mix of Christians and Muslims."
"830","Lebanon","10","It is located in the Middle East, bordering Syria and Israel, with a coastline on the Mediterranean Sea."
"831","Malaysia","1","It is the only country in the world that has territory on both the mainland of Asia and the island of Borneo."
"832","Malaysia","2","It is home to one of the world’s oldest rainforests, dating back over 130 million years."
"833","Malaysia","3","It has a unique tradition of ""kenduri,"" a communal feast to celebrate special occasions."
"834","Malaysia","4","It is known for its diverse ethnic groups, including Malay, Chinese, and Indian."
"835","Malaysia","5","Its national flower is the hibiscus, symbolizing courage and life."
"836","Malaysia","6","It is a major producer of palm oil, rubber, and tin."
"837","Malaysia","7","The capital city, Kuala Lumpur, is home to the Petronas Twin Towers, which were once the tallest globally."
"838","Malaysia","8","It has a tropical climate year-round."
"839","Malaysia","9","Its cuisine includes dishes like nasi lemak and satay."
"840","Malaysia","10","It is located in Southeast Asia, with both mainland and island territories."
"841","Maldives","1","It held the world’s first underwater cabinet meeting to highlight climate change."
"842","Maldives","2","It consists of over 1,000 coral islands grouped into atolls."
